userId,storyId,score,time,mode
136757483,fr-la-lettre-oubliee,8,2019-11-20 21:35:19,
136757483,fr-un-serpent,8,2019-11-20 21:37:42,
136757483,fr-l-amour-est-dans-l-air,7,2019-11-20 21:47:35,
136757483,fr-controle-routier-1,8,2019-11-20 22:36:34,
136757483,fr-controle-routier-2,6,2019-11-20 22:40:16,
136757483,fr-la-lettre-oubliee,8,2019-11-21 06:33:24,
136757483,fr-le-sac-en-papier,8,2019-11-21 06:35:47,
136757483,fr-fifi-a-besoin-d-une-chambre,7,2019-11-21 06:38:47,
136757483,fr-nouveau-projet-de-vie-1,6,2019-11-22 06:17:52,
136757483,fr-nouveau-projet-de-vie-2,9,2019-11-22 06:25:47,
136757483,fr-fifi-a-besoin-d-une-chambre,7,2019-11-22 06:29:12,
136757483,fr-pret-pour-le-decollage,7,2019-11-22 06:31:36,
136757483,fr-il-est-trois-heures-du-matin,8,2019-11-22 06:33:47,
136757483,fr-le-touriste,6,2019-11-22 06:35:57,
136757483,fr-un-rendez-vous,7,2019-11-22 06:39:01,
136757483,fr-c-est-qui,7,2019-11-22 06:41:18,
136757483,fr-la-boite-secrete,8,2019-11-22 18:45:13,
136757483,fr-pain-au-chocolat-du-matin,10,2019-11-23 12:43:12,
136757483,fr-un-rendez-vous,7,2019-11-23 12:45:30,
136757483,fr-apres-la-fermeture-1,8,2019-11-23 12:49:18,
136757483,fr-apres-la-fermeture-2,8,2019-11-23 12:54:13,
136757483,fr-a-la-television,5,2019-11-24 12:28:31,
136757483,fr-pain-au-chocolat-du-matin,11,2019-11-24 12:32:54,
136757483,fr-la-visite-a-rome,7,2019-11-24 20:15:06,
136757483,fr-course-poursuite-1,5,2019-11-24 20:27:35,
136757483,fr-retourne-toi,8,2019-11-24 20:30:27,
136757483,fr-l-amour-est-dans-l-air,6,2019-11-24 20:34:02,
136757483,fr-la-boite-secrete,8,2019-11-24 20:36:26,
136757483,fr-le-sac-en-papier,8,2019-11-24 20:38:34,
